AcceptedTaxonID	Country	Locality	Lat	Long	StandardInUse	DistributionStatus
1	Namibia	50 km from Lüderitzbucht	-26.626389	15.142222	Text	Native
1	Namibia	2558'S; 1602'E	-25.966667	16.033333	Text	Native
1	Namibia	28 miles W Sesriem Farm	-24.421455	15.735015	Text	Native
1	Namibia	30 km NE Luderitz	-26.537896	15.200158	Text	Native
1	Namibia	N Awasib	-25.408177	15.582947	Text	Native
1	Namibia	W Guinasib Mt.	-25.388748	15.601348	Text	Native
1	Namibia	E. Tsondab Plains	-24.017799	15.876963	Text	Native
1	Namibia	Sossusvlei	-24.705816	15.327221	Text	Native
1	Namibia	N Uri-Hauchab	-25.353682	15.169244	Text	Native
2	South Africa	Bechuana Land	x	x	Text	Native
2	Zambia	Victoria Falls	-17.92238	25.864582	Text	Native
2	Botswana	Bechuana Country	x	x	Text	Native
2	Zambia	Kwando River 17.47S; 23.20E	-17.47	23.2	Text	Native
2	Zambia	Lealui 15.12S; 22.59E	-15.12	22.59	Text	Native
2	Zambia	Mongu 15.14S; 23.10E	-15.14	23.1	Text	Native
2	Namibia	Popa Falls E. Bank 18.07S; 21.35E	-18.07	21.35	Text	Native
2	Botswana	Thamalakane R. 20.08S; 23.23E	-20.08	23.23	Text	Native
2	Zambia	Victoria Falls	-17.55	25.49	Text	Native
2	Namibia	W.Caprivi 18.02S; 22.18E	-18.02	22.18	Text	Native
2	South Africa	x	x	x	Text	Native
2	Zambia	Northern Kalahari	x	x	Text	Native
43	Namibia	Ovampoland	x	x	Text	Native
43	Namibia	Haruchas 24.57S; 18.52E	-24.57	18.52	Text	Native
43	Namibia	Oostenwald 21.52S; 19.58E	-21.52	19.58	Text	Native
43	Namibia	Rehoboth 23.12S; 17.05E	-23.12	17.05	Text	Native
43	Namibia	Richthofen 22.34S; 17.45E	-22.34	17.45	Text	Native
43	x	Western central Kalahari	x	x	Text	Native
3	Zambia	N.W.Rhodesia Kashitu N. of Broken Hill	-13.731203	28.640803	Text	Native
3	Zambia	Northern Kalahari	x	x	Text	Native
4	Namibia	Mangetti Forest between Tsumkwe--Chassie	-19.322662	19.797498	Text	Native
4	Namibia	Uithou 366 22.52S; 19.46E	-22.52	19.46	Text	Native
4	Namibia	Gobabis	-22.375283	18.970695	Text	Native
5	Zambia	N.W.Rhodesia Mwengwa 27.40E	-27.4	13	Text	Native
5	Zambia	Northern Kalahari	x	x	Text	Native
6	Democratic Republic of the Congo	Mabwe	-8.654178	26.512572	Text	Native
7	South Africa	Hodenklipbay 12km E	-30.21	17.25	Text	Native
7	South Africa	Namaq Coast Gembsbok Vlakte farm	-30.3	17.29	Text	Native
7	South Africa	Quaggafontein	-30.13	17.33	Text	Native
7	South Africa	Richtersveld Buffelsriv. valley	-29.36	17.14	Text	Native
7	South Africa	Graskom	-30.18	17.23	Text	Native
8	Namibia	Walfish Bay	-22.9584	14.5057	Text	Native
8	Namibia	Angra Fria	-18.2833	11.95	Text	Native
8	Angola	Baia dos Tigres	-16.6	11.7167	Text	Native
8	Namibia	Cape Cross	-21.7833	13.9333	Text	Native
8	Namibia	Carlowa's Camp	-18.14	12.01	Text	Native
8	Namibia	Conception Bay	-24.0167	14.55	Text	Native
8	Namibia	Diamond Area	-24.35	14.42	Text	Native
8	Namibia	Gobabeb	-23.5667	15.05	Text	Native
8	Namibia	Henties Bay	-22.1167	14.2667	Text	Native
8	Namibia	Hoanib R.M.	-19.3833	13.1	Text	Native
8	Namibia	delta 4km inland; Khumib R. M.	-18.8833	12.4167	Text	Native
8	Namibia	3km S. Kuiseb delta	-23.1167	14.05	Text	Native
8	Namibia	Kunene R. M.	-17.2667	11.8	Text	Native
8	Namibia	Kunene R. M. 45km S; Meob Bay (Fischersbrunn)	-24.6167	14.7333	Text	Native
8	Namibia	Mowebaai/Lower Hoanib Riv.	-19.3333	12.7167	Text	Native
8	Namibia	Naribis nr (St Franciscus Bay)	-25.1333	14.85	Text	Native
8	Namibia	Norakop	-24.5333	14.6833	Text	Native
8	Namibia	Omaruru R.M.	-22.1167	14.2667	Text	Native
8	Namibia	Rocky Point	-18.9833	12.4833	Text	Native
8	Namibia	Sandwich Harbour	-23.3333	14.4667	Text	Native
8	Namibia	Sarusas waterhole	-18.8333	12.4	Text	Native
8	Namibia	Sarusas W; Swakopmund	-22.6667	14.5167	Text	Native
8	Namibia	Swakopmund 10 km NE Sylvia Hill	-25.1333	14.85	Text	Native
8	Namibia	Unjab R. 4km from Mouth	-20.2	13.1667	Text	Native
8	Namibia	Wlotzka's Baken	-22.4167	14.4333	Text	Native
9	Namibia	Bogmansberg diamond area	-27.7833	16.4167	Text	Native
10	Namibia	D.S.W.-Afr. Possession Ins.	-27.0128	15.1945	Text	Native
10	Namibia	Hottentot Bay	-26.1333	14.95	Text	Native
10	Namibia	Luderitz	-26.5833	15.1667	Text	Native
10	Namibia	Luderitz 15 mi N; Possession Island	-27.0167	15.2	Text	Native
10	Namibia	Possession Island	-27.0128	15.1945	Text	Native
10	Namibia	Angra Pequena	-26.5833	15.1667	Text	Native
10	South Africa	betw. Soebatsfontein and Springbok	x	x	Text	Native
11	x	x	x	x	Text	Native
12	South Africa	Oograbies	-29.2	17.0833	Text	Native
12	South Africa	Port Nolloth	-29.2572	16.889	Text	Native
12	South Africa	Farquarson	-29.25	17.15	Text	Native
12	South Africa	Jakkalsputs	-28.28	16.54	Text	Native
13	South Africa	Pt Nolloth	-29.2572	16.889	Text	Native
13	South Africa	Holgat	-28.9333	16.7833	Text	Native
13	South Africa	Jakkalsputs	-28.4667	16.9	Text	Native
13	South Africa	Rietfontein Coast	-28.8	16.5833	Text	Native
14	South Africa	Namaland Port Nolloth	-29.2496	16.8814	Text	Native
14	South Africa	Alexander Bay	-28.6667	16.5	Text	Native
14	Namibia	15mi S Bogenfels	-27.45	15.4	Text	Native
14	South Africa	Grootderm farm	-28.5	16.6333	Text	Native
14	South Africa	Grootmist Coast	-29.65	17.0833	Text	Native
14	South Africa	Holgat R. mouth	-28.9667	16.7167	Text	Native
14	Namibia	Oranjemund	-28.55	16.45	Text	Native
14	Namibia	Rietfontein Coast	-28.8	16.5833	Text	Native
14	Namibia	Spencer Bay	-25.7833	14.9	Text	Native
14	Namibia	Cape Cross	-21.7833	13.9333	Text	Native
14	Namibia	Rooibank (near Walfischbay)	-23.1797	14.6494	Text	Native
14	Namibia	Port Nolloth	-29.2572	16.889	Text	Native
15	South Africa	Cap.	x	x	Text	Native
28	South Africa	Cap.	x	x	Text	Native
16	South Africa	Cape of Good Hope	x	x	Text	Native
16	South Africa	Transvaal Johannesburg	x	x	Text	Native
16	South Africa	Cape of Good Hope	x	x	Text	Native
18	South Africa	Cape of Good Hope	x	x	Text	Native
18	South Africa	Cape of Good Hope	x	x	Text	Native
21	South Africa	Cape of Good Hope	x	x	Text	Native
20	South Africa	Kronstad	-27.65	27.233333	Text	Native
22	South Africa	Fraserburg	-31.914444	21.511944	Text	Native
22	South Africa	Carnarvon	x	x	Text	Native
23	South Africa	Cape of Good Hope	x	x	Text	Native
24	South Africa	Cape of Good Hope	x	x	Text	Native
25	South Africa	East London	-33	27.9	Text	Native
25	South Africa	Graham’s Town	-33.31	26.526667	Text	Native
25	South Africa	Somerset East	-32.716667	25.583333	Text	Native
26	’interior of south africa’	x	x	x	Text	Native
26	South Africa	Cape of Good Hope	x	x	Text	Native
29	Namibia	Wildeheim Ost 384; Keetmanshoop	-26.5791	18.1336	Text	Native
29	South Africa	Twee Rivieren	-26.4725	20.6116	Text	Native
29	South Africa	Mata Mata	-25.7677	20.0013	Text	Native
29	Namibia	Mukorob	-20.3831	15.434	Text	Native
29	Namibia	Koes	-25.9371	19.1229	Text	Native
29	Namibia	Namaland	x	x	Text	Native
29	Namibia	Onze Rust	-25.6908	19.1756	Text	Native
44	Namibia	Windhoek	-22.5666	17.1	Text	Native
44	Namibia	Khorixas	-20.35	14.95	Text	Native
45	South Africa	Bak River near Aries	-28.1833	20.05	Text	Native
45	South Africa	Fraserburg	-31.9167	21.5167	Text	Native
45	South Africa	Upington	-28.4667	21.2333	Text	Native
30	Namibia	Rotegab 95 Keetmanshoop	-26.5791	18.1336	Text	Native
30	South Africa	11-17 km S Goodhouse	-29.0333	18.2167	Text	Native
31	Namibia	Krone	-20.5138	14.0415	Text	Native
31	Namibia	Bethanis	-20.401	14.4015	Text	Native
31	Namibia	Tsisab River Brandberg	-21.1081	14.6642	Text	Native
31	Namibia	Duineveld	-18.9517	14.6108	Text	Native
32	Namibia	Kanaan	-25.8453	16.1578	Text	Native
32	Namibia	Sossusvlei	-24.7353	15.344	Text	Native
33	South Africa	Fraserburg Cape Colony	-31.9808	21.513	Text	Native
34	South Africa	Sud Afrika	x	x	Text	Native
35	South Africa	Bechuanaland; Taungs	-27.5518	24.7664	Text	Native
36	Namibia	Southern Hereroland	x	x	Text	Native
37	South Africa	Calvinia	-31.4739	19.7734	Text	Native
37	South Africa	O'kiep	-29.5955	17.8736	Text	Native
38	South Africa	Du Cap de Bonne Espérance	-34.3343	18.4619	Text	Native
38	x	no data	x	x	Text	Native
39	x	Namaqua	x	x	Text	Native
39	x	Cape Colony; Namaqualand	x	x	Text	Native
40	South Africa	Cap	x	x	Text	Native
41	South Africa	5 miles S of Van Rhyn's Pass	-31.3833	19	Text	Native
42	Namibia	Rooibank	-23.1797	14.6494	Text	Native
589	Namibia	Abachaus	-19.7167	16.58	Text	Native
589	Namibia	Ike	-19.7533	16.6244	Text	Native
590	Namibia	Franzfontein Kaokoveld	-20.2134	15.0164	Text	Native
590	Namibia	Kaoka Otavi	-18.3013	13.6529	Text	Native
590	Namibia	Opuwo; Kaokoland	-18.0577	13.8382	Text	Native
591	Zambia	Mazabuka	-15.8662	27.7468	Text	Native
592	Namibia	Opuwo;  Kaokoland	-18.0577	13.8382	Text	Native
592	Namibia	Orumana; Kaokoland	-18.2667	13.8833	Text	Native
592	Namibia	Ombazu	-17.8	15.75	Text	Native
592	Namibia	Otjitanda	-17.6172	12.8668	Text	Native
592	Namibia	Otjitundua	-18.65	14.2333	Text	Native
592	Namibia	Otjimbumbe; Kunene River	-17.5	14.2502	Text	Native
592	Namibia	Hoarusib Otshu	-18.3	13.2833	Text	Native
592	Namibia	Kaoko Otvai	-18.3013	13.6529	Text	Native
593	Namibia	Tsumeb	-19.2836	17.737	Text	Native
593	Namibia	Gaub	-19.4795	17.7468	Text	Native
594	South Africa	Zebedela	-24.3076	29.2671	Text	Native
594	South Africa	Pietersburg	-23.8992	29.451	Text	Native
594	South Africa	Slypsteenkop (= Slypsteendrift)	-25.5456	26.6418	Text	Native
595	Zambia	Mwengwa	-15.2883	25.9811	Text	Native
595	Zambia	Solwezi	-12.1664	26.3835	Text	Native
595	Zambia	Feira	-15.6262	30.4044	Text	Native
596	Namibia	Svakop Africae	x	x	Text	Native
596	Namibia	Nolagi, Africae	x	x	Text	Native
596	Namibia	Abachaus	-19.7167	16.58	Text	Native
596	Namibia	Andoni	-18.4267	17.2418	Text	Native
596	Namibia	Delhi	-20.3667	15.6833	Text	Native
596	Namibia	Dordabis	-22.9483	17.6618	Text	Native
596	South Africa	Douglas (Griqualand West)	-29.1142	23.7503	Text	Native
596	Namibia	Duineveld	-18.9515	14.6104	Text	Native
596	Namibia	Eendrag	-20.3333	15.75	Text	Native
596	Namibia	Excelsior 286	-22.4498	17.6333	Text	Native
596	Namibia	Fransfontein	-20.2134	15.0164	Text	Native
596	Namibia	Gaub	-19.4795	17.7468	Text	Native
596	Namibia	Gautscha Pan	-19.9143	20.5993	Text	Native
596	South Africa	Gemsbokvlakte	-25.9008	24.4998	Text	Native
596	Botswana	Gemsbok Pan	-21.6667	21.5833	Text	Native
596	Namibia	Ghaub	-19.5175	17.7802	Text	Native
596	Namibia	Gobabis, 8 miles W	-22.4472	18.979	Text	Native
596	Namibia	Gobiswater	-19.3831	18.1506	Text	Native
596	Namibia	Good Hope 397	x	x	Text	Native
596	Namibia	Halaii	-19.0333	16.5	Text	Native
596	Namibia	Hardap Dam	-24.5006	17.8599	Text	Native
596	Namibia	Harmonie	-22.7721	16.3125	Text	Native
596	Namibia	Ike	-19.7533	16.6244	Text	Native
596	Namibia	Kalidona	-21.2833	18.0667	Text	Native
596	Namibia	Kalkfontein 732 42 miles W	-19.5	18.3667	Text	Native
596	Namibia	Kaoko Otavi	-18.3013	13.6529	Text	Native
596	Namibia	Kapupuhedi	-19.1243	16.0699	Text	Native
596	Namibia	Karibib	-21.938	15.855	Text	Native
596	South Africa	Kimberley	-28.7298	24.7477	Text	Native
596	South Africa	Kowares (= Kawares)	-19.065	14.3516	Text	Native
596	Namibia	Mata Mata	-25.7673	19.9998	Text	Native
596	Namibia	Namutoni	-18.8077	16.9403	Text	Native
596	Namibia	Narib Ost	-24.1667	17.7	Text	Native
596	Botswana	N'gami Africae	-20.4999	22.6671	Text	Native
596	Namibia	Okahandja	-21.9835	16.9167	Text	Native
596	Namibia	Okaukuejo	-19.1761	15.9163	Text	Native
596	Namibia	Ombika	-19.3282	15.929	Text	Native
596	Namibia	Ondongantje	x	x	Text	Native
596	Namibia	Ongombeanavita	x	x	Text	Native
596	Namibia	Onguma	-18.7307	17.0487	Text	Native
596	Namibia	Onze Rust	-25.6908	19.1756	Text	Native
596	Namibia	Osire North	x	x	Text	Native
596	Namibia	Otjikoto	-19.1952	17.5504	Text	Native
596	Namibia	Outjo	-20.109	16.1548	Text	Native
596	Namibia	Outjo 100 miles W	-20.109	16.1548	Text	Native
596	Namibia	Ovita	-21.5712	16.5649	Text	Native
596	Namibia	Regenstein	-22.7339	17.0357	Text	Native
596	Namibia	Rehoboth	-23.3212	17.0878	Text	Native
596	Namibia	Richthofen	-22.5334	17.75	Text	Native
596	Namibia	Rietfontein	-21.9107	20.9097	Text	Native
596	Namibia	Sandkraal	-22.3833	18.7333	Text	Native
596	Namibia	Stamprietfontein	-24.3438	18.4026	Text	Native
596	Namibia	Steinhausen	-21.8249	18.2333	Text	Native
596	Namibia	Svakop (?)	x	x	Text	Native
596	Namibia	Transvaal 51	x	x	Text	Native
596	Namibia	Tsumeb	-19.2836	17.737	Text	Native
596	South Africa	Twee Rivieren	-26.4731	20.6124	Text	Native
596	Namibia	Tzobaas	-19.7499	15.8833	Text	Native
596	South Africa	Uithoek	x	x	Text	Native
596	Namibia	Usakos	-22.0028	15.5863	Text	Native
596	South Africa	Vaalbank	-25.1556	28.8469	Text	Native
596	South Africa	Vryburg	-26.9608	24.7288	Text	Native
596	Namibia	Wildheim Ost	-26.4832	19.5667	Text	Native
596	Namibia	Windhoek. Also: 'Bechuanaland', (Stone)	x	x	Text	Native
596	South Africa	Border' Cape Province'	x	x	Text	Native
596	Namibia	Damara' (De Vylder)	x	x	Text	Native
596	South Africa	Griqualand West' (Alston)	x	x	Text	Native
596	Namibia	Khomashochland'	x	x	Text	Native
596	Namibia	N Damara' (Eriksson)	x	x	Text	Native
596	x	Omaramba' (Eriksson)	x	x	Text	Native
596	x	Ovampo L' (Eriksson)	x	x	Text	Native
596	x	Transvaal' (Bates)	x	x	Text	Native
596	x	Transvaal Potchefstroom Disrict' (Ayres)	x	x	Text	Native
597	Angola	Omupanda	-17.1897	15.8053	Text	Native
597	Namibia	Oshikango Ovamboland	-17.3925	15.8906	Text	Native
597	Angola	Rocadas	-16.7481	14.9812	Text	Native
597	Namibia	Kalkfontein	-19.5	18.3667	Text	Native
597	Namibia	75 mi NW of Namutoni	-18.8077	16.9407	Text	Native
597	Angola	Cunene River Huila' Angola	x	x	Text	Native
597	x	Mafa	x	x	Text	Native
597	Angola	Namakunde	-17.3069	15.845	Text	Native
597	x	Omaramba'	x	x	Text	Native
597	Namibia	Otjimbumbe Kunene R'	-17.5	14.2502	Text	Native
597	x	Ovampo L.'	x	x	Text	Native
598	Botswana	N'gami Africae	-20.4999	22.6671	Text	Native
598	Botswana	Kuke Pan	-23.3115	24.4792	Text	Native
598	Namibia	Oostenwald	-21.8666	19.6331	Text	Native
598	Zimbabwe	Plumtree	-20.4994	27.8022	Text	Native
598	Botswana	Bechuanaland	x	x	Text	Native
598	x	Molopo River	x	x	Text	Native
599	South Africa	Chapudi	-22.9158	29.5532	Text	Native
599	Zimbabwe	Beit bridge 'Sud Rhodesie"	-22.218	29.9861	Text	Native
