ID	ReferenceType	ReferenceID
1	NomRef	10
2	NomRef	9
3	NomRef	13
4	NomRef	13
5	NomRef	13
6	NomRef	13
7	NomRef	13
8	NomRef	15
9	NomRef	13
10	NomRef	16
11	NomRef	18
12	NomRef	11
13	NomRef	11
14	NomRef	16
15	NomRef	6
16	NomRef	17
17	NomRef	6
18	NomRef	17
19	NomRef	17
20	NomRef	2
21	NomRef	4
22	NomRef	15
23	NomRef	6
24	NomRef	6
25	NomRef	15
26	NomRef	6
27	NomRef	17
28	NomRef	8
29	NomRef	12
30	NomRef	12
31	NomRef	12
32	NomRef	12
33	NomRef	14
34	NomRef	6
35	NomRef	15
36	NomRef	16
37	NomRef	15
38	NomRef	3
39	NomRef	1
40	NomRef	7
41	NomRef	12
42	NomRef	11
43	NomRef	15
44	NomRef	12
45	NomRef	12
46	NomRef	12
47	NomRef	15
48	NomRef	15
49	NomRef	2
50	NomRef	17
51	NomRef	15
52	NomRef	5
53	NomRef	17
54	NomRef	7
55	NomRef	17
56	NomRef	15
46	TaxAccRef	19
47	TaxAccRef	19
48	TaxAccRef	19
49	TaxAccRef	19
50	TaxAccRef	19
51	TaxAccRef	19
52	TaxAccRef	19
53	TaxAccRef	19
54	TaxAccRef	19
55	TaxAccRef	19
56	TaxAccRef	20
57	NomRef	6
58	NomRef	6
59	NomRef	26
60	NomRef	27
61	NomRef	28
62	NomRef	29
63	NomRef	26
64	NomRef	30
65	NomRef	29
66	NomRef	31
67	NomRef	6
68	NomRef	32
69	NomRef	28
70	NomRef	33
71	NomRef	34
72	NomRef	35
73	NomRef	36
74	NomRef	27
75	NomRef	22
76	NomRef	37
77	NomRef	38
78	NomRef	22
79	NomRef	22
80	NomRef	22
81	NomRef	22
82	NomRef	22
83	NomRef	39
84	NomRef	22
85	NomRef	27
86	NomRef	37
87	NomRef	22
88	NomRef	6
89	NomRef	22
90	NomRef	22
91	NomRef	40
92	NomRef	41
93	NomRef	22
94	NomRef	42
95	NomRef	43
96	NomRef	22
97	NomRef	44
98	NomRef	45
99	NomRef	46
100	NomRef	47
101	NomRef	26
102	NomRef	28
103	NomRef	20
104	NomRef	6
105	NomRef	48
106	NomRef	29
107	NomRef	26
108	NomRef	33
109	NomRef	27
110	NomRef	44
111	NomRef	20
112	NomRef	49
113	NomRef	50
114	NomRef	51
115	NomRef	50
116	NomRef	50
117	NomRef	27
118	NomRef	50
119	NomRef	52
120	NomRef	50
121	NomRef	53
122	NomRef	53
123	NomRef	50
124	NomRef	28
125	NomRef	10
126	NomRef	10
127	NomRef	54
128	NomRef	55
129	NomRef	56
130	NomRef	31
131	NomRef	31
132	NomRef	22
133	NomRef	25
134	NomRef	25
135	NomRef	6
136	NomRef	57
137	NomRef	58
138	NomRef	6
139	NomRef	44
140	NomRef	6
141	NomRef	59
142	NomRef	6
143	NomRef	18
144	NomRef	17
145	NomRef	6
146	NomRef	6
147	NomRef	16
148	NomRef	6
149	NomRef	6
150	NomRef	17
151	NomRef	60
152	NomRef	6
153	NomRef	22
154	NomRef	61
155	NomRef	40
156	NomRef	37
157	NomRef	22
158	NomRef	17
159	NomRef	62
160	NomRef	17
161	NomRef	62
162	NomRef	27
163	NomRef	63
164	NomRef	64
165	NomRef	61
166	NomRef	65
167	NomRef	66
168	NomRef	22
169	NomRef	22
170	NomRef	22
171	NomRef	22
172	NomRef	61
173	NomRef	61
174	NomRef	62
175	NomRef	64
176	NomRef	6
177	NomRef	67
178	NomRef	68
179	NomRef	37
180	NomRef	6
181	NomRef	69
182	NomRef	20
183	NomRef	37
184	NomRef	20
185	NomRef	49
186	NomRef	6
187	NomRef	70
188	NomRef	28
189	NomRef	6
190	NomRef	54
191	NomRef	6
192	NomRef	71
193	NomRef	6
194	NomRef	20
195	NomRef	28
196	NomRef	6
197	NomRef	6
198	NomRef	8
199	NomRef	7
200	NomRef	6
201	NomRef	6
202	NomRef	6
203	NomRef	17
204	NomRef	45
205	NomRef	6
206	NomRef	17
207	NomRef	6
208	NomRef	28
209	NomRef	10
210	NomRef	6
211	NomRef	6
212	NomRef	6
213	NomRef	32
214	NomRef	6
215	NomRef	10
216	NomRef	6
217	NomRef	70
218	NomRef	30
219	NomRef	32
220	NomRef	6
221	NomRef	20
222	NomRef	6
223	NomRef	6
224	NomRef	6
225	NomRef	20
226	NomRef	7
227	NomRef	72
228	NomRef	70
229	NomRef	73
230	NomRef	17
231	NomRef	17
232	NomRef	7
233	NomRef	10
234	NomRef	2
235	NomRef	6
236	NomRef	74
237	NomRef	75
238	NomRef	6
239	NomRef	16
240	NomRef	20
241	NomRef	20
242	NomRef	73
243	NomRef	20
244	NomRef	70
245	NomRef	16
246	NomRef	7
247	NomRef	16
248	NomRef	16
249	NomRef	6
250	NomRef	20
251	NomRef	17
252	NomRef	76
253	NomRef	6
254	NomRef	28
255	NomRef	20
256	NomRef	6
257	NomRef	70
258	NomRef	33
259	NomRef	73
260	NomRef	20
261	NomRef	50
262	NomRef	28
263	NomRef	6
264	NomRef	54
265	NomRef	6
266	NomRef	6
267	NomRef	17
268	NomRef	6
269	NomRef	20
270	NomRef	6
271	NomRef	6
272	NomRef	33
273	NomRef	6
274	NomRef	18
275	NomRef	17
276	NomRef	20
277	NomRef	17
278	NomRef	77
279	NomRef	28
280	NomRef	20
281	NomRef	28
282	NomRef	78
283	NomRef	7
284	NomRef	20
285	NomRef	30
286	NomRef	6
287	NomRef	17
288	NomRef	6
289	NomRef	28
290	NomRef	33
291	NomRef	79
292	NomRef	6
293	NomRef	7
294	NomRef	6
295	NomRef	6
296	NomRef	33
297	NomRef	6
298	NomRef	17
299	NomRef	20
300	NomRef	80
301	NomRef	17
302	NomRef	6
303	NomRef	16
304	NomRef	6
305	NomRef	33
306	NomRef	6
307	NomRef	6
308	NomRef	6
309	NomRef	20
310	NomRef	6
311	NomRef	6
312	NomRef	6
313	NomRef	169
314	NomRef	6
315	NomRef	73
316	NomRef	17
317	NomRef	6
318	NomRef	28
319	NomRef	6
320	NomRef	70
321	NomRef	17
322	NomRef	6
323	NomRef	33
324	NomRef	28
325	NomRef	28
326	NomRef	6
327	NomRef	6
328	NomRef	6
329	NomRef	6
330	NomRef	54
331	NomRef	6
332	NomRef	28
333	NomRef	81
334	NomRef	6
335	NomRef	6
336	NomRef	17
337	NomRef	6
338	NomRef	50
339	NomRef	82
340	NomRef	64
341	NomRef	83
