ReferenceID	Authors	Year	Title	Source
1	Fairmaire L	1888a	Énumération des Coléopteres recueillis par M. le Dr. Hans Schinz dans le sud de l'Afrique	Annales de la Société Entomologique de France 6 173–202
2	Gebien H	1910b	Pars 15. Tenebrionidae I [pp. 1–166].	In Schenkling S Ed) Coleopterorum Catalogus Volumen XVIII. W. Junk, Berlin, 742 pp.
3	Gemminger M	1870	[new names]	In Harold E. von. Geänderte Namen. Coleopterologische Hefte 6 119–124.
4	Germar EF	1823	Species insectorum novae aut minus cognitae, descriptionibus illustratae. Volumen Primum.	Coleoptera. J. C. Hendelii et filii, Halae, 624 pp.
5	Guérin-Méneville FE	1834	Matériaux pour une classification des mélasomes. Extraits ďune monographie de cette famille).	Magasin de Zoologie 1 1–39
6	Haag-Rutenberg G	1871a	Beiträge zur Familie der Tenebrioniden II. Stück).	Coleopterologische Hefte VII 21–111.
7	Haag-Rutenberg G	1871b	Beiträge zur Familie der Tenebrioniden III. Stück).	Coleopterologische Hefte VIII 29–113.
8	Haag-Rutenberg G	1873	Beiträge zur Familie der Tenebrioniden IV. Stück).	Coleopterologische Hefte XI 1–49.
9	Haag-Rutenberg G	1879	Fernere Nachträge zu den Heteromeren-Monographien der Moluriden, Eurychoriden und Adesmiiden.	Deutsche Entomologische Zeitschrift 23 289–296
10	Koch C	1952	Die Tenebrioniden des südlichen Afrikas XIII Vorstudien zu einer Monographie der Molurini, 3. Col. Tenebrionidae).	Entomologische Arbeiten 3 214–349
11	Koch C	1962b	The Tenebrionidae of Southern Africa XXXII New psammophilous species from the Namib Desert	Annals of the Transvaal Museum 24 107–159
12	Louw S	1979	A partial revision of the subtribes Oxurina and Hypomelina Coleoptera Tenebrionidae Molurini).	Cimbebasia 5 95–177.
13	Penrith M-L	1986	Revision of the genera Bombocnodulus Koch and Brinckia Koch Coleoptera Tenebrionidae Molurini).	Journal of the Entomological Society of Southern Africa 49 55–85
14	Péringuey LA	1885	First contribution to the South-African Coleopterous Fauna.	Transactions of the South African philosophical Society 3 74–149
16	Péringuey LA	1908	Tenebrionidae und Curculionidae	Denkschriften der Medicinisch-Naturwissenschaftlichen Gesellschaft zu Jena 13 393–424
17	Solier AJJ	1843	Essai sur les collaptérides de la tribu des Molurites	Imprimerie Royale, Turin. 127 pp., 4 pls. [extract of Memorie della Reale Accademia delle Scienze di Torino, 2) 6 [1844] 213–339].
18	Thunberg CP	1787	Museum Naturalium Academiae Uppsaliensis	Cujus partem quartam. Publico examini subjicit P. Bjerkén. Joh. Edman, Uppsaliae [2] + 43–58 pp.
19	Kamiński et al.	2019	A catalogue of the tribe Sepidiini Eschscholtz, 1829 Tenebrionidae Pimeliinae) of the world	Zookeys 844: 1-121
20	Péringuey LA	1899	Fifth contribution to the South-African Coleopterous Fauna.	Annals of the South Africa Museum 1: 240–330
21	Koch C	1955	Monograph of the Tenebrionidae of southern Africa Vol I (Tentyriinae, Molurini Trachynotina: Somaticus Hope).	 Transvaal Museum Memoir 7, 242 pp
22	Wilke S	1921	Die Molurinen-Gattung Phrynocolus Lac. (Col., Tenebr.).	Archiv für Naturgeschichte 87: 161–174.
23	Koch C	1958	Tenebrionidae of Angola.	Publicacões Culturais da Companhia de Diamantes de Angola 39: 11–231.
24	Gebien H	1937a	Katalog der Tenebrioniden (Col. Heteromera). Teil I.	Pubblicazioni del Museo Entomologico «Pietro Rossi» 2: 505–883.
25	Koch C	1956	Die Tenebrioniden des Südlichen Afrikas – XXXVI Neue Melanolophus (Molurini) aus dem Museum Triest.	Atti del Museo Civico di Storia Naturale di Trieste 20: 170–176.
26	Kolbe HJ	1886	Neue Coleoptera von Westafrika.	Berliner entomologische Zeitschrift 27: 15–36.
27	Gebien H	1910a	Diagnosen der von Dr. Sheffield Neave im südlichen Kongo-Gebiet gesammelten Tenebrioniden nebst Beschreibungen neuer Arten aus Deutsch-Ostafrika.	Annales de la Société entomologique de Belgique 54: 144–182.
28	Fåhraeus OL	1870	Coleoptera Caffrariae, annis 1838–1845 a J. A. Wahlberg collecta. Heteromera descripsit.	Öfversigt af Kongliga Vetenskaps-Akademiens Förhandlingar 27: 243–358.
29	Péringuey LA	1896	Descriptions of new genera and species of Coleoptera from South Africa, chiefly from Zambezia.	The Transaction of the Entomological Society of London 1896: 149–189
30	Quedenfeldt G	1885	Verzeichniss der von Herrn Major a. D. von Mechow in Angola und am Quango-Strom 1878–1881 gesammelten Tenebrioniden und Cisteliden. 	Berliner entomologische Zeitschrift 29: 1–38. 
31	Fairmaire, 1899	1899	La Faune entomologique du Delagoa. In: Junod, HA Missionnaire avec la collaboration du Prof. E Bugnion.	Bulletin de la Société Vaudoise des Sciences Naturelles, XXXV: 162–188.
32	Péringuey LA	1904	Sixth contribution to the South African Coleopterous fauna	Annals of the South African Museum 3: 167–300.
33	Haag-Rutenberg G	1875	Beiträge zur Familie der Tenebrioniden (V. Stück). 	Coleopterologische Hefte XIV: 67–92.
34	Distant, 1892	1892	A Naturalist in the Transvaal.	R. H. Porter, London, 277 pp.
35	Koch C	1959	Erster taxonomischer Beitrag zur Kenntnis der Tenebrioniden Somalis.	Entomologischen Arbeiten aus dem Museum G. Frey Tutzing bei München 10: 568–596.
36	Waterhouse CO	1885	On the Insects collected on Kilima-njaro.	Journal of Zoology 53: 230–235.
37	Fairmaire L	1887	Coléoptères des voyages de MG Revoil chez les Somâlis et dan l’intérieur du Zanguebar.	Annales de la Société Entomologique de France 6: 69–186. 
38	Ardoin P	1977	Coleoptera Tenebrionidae. Scientific report of the Belgian Mt. Kenya bioexpedition, 1975. no 10.	Revue de Zoologie Africaine 91(4): 811–816.
39	Gestro R	1895	Esplorazione del Giuba e dei suoi affluenti compiuta dal Cap P. Bottego durante gli anni 1892–93 sotto gli auspicii Della Società Geografica Italiana. Risultati Zoologici. XVI Coleotteri.	Tipografia R. Istituto Sordo-Muti, Genova, 254 pp.
40	Gerstaecker A	1871	Beitrag zur Insektenfauna von Zanzibar. III. Coleoptera.	Archiv für Naturgeschichte 37(1): 42–86.
41	Kolbe HJ	1885	Zu Phrynocolis Lac. (Coleoptera) 	Berliner entomologische Zeitschrift, 29: 112.
42	Fairmaire L	1882a	[new taxa]. 	In: Fairmaire L, Lansberge V, Bourgeois J. Mission G. Révoil aux Pays Çomalis. Faune et Flore. Coléoptères recueillis par MG Révoil chez les Çomalis. Descriptions. Challamel Ainé, Paris, iv + 104 pp, 1 pl. [VI–1882]. 
43	Gebien H	1937b	Ueber neue Tenebrioniden Ostafrikas aus den Sammlungen des Museo Civico di Storia Nautrale di Trieste.	Atti del Museo Civico di Storia Naturale di Trieste 14(2): 21–56.
44	Guérin-Méneville FE	1845	 Description de quelques-uns des Insectes les plus remarquable découverts par M. A. Delegorcue dans les pays des Boschimans, des Ama Zoulous, des Massilicatzi et au Port Natal, pendant les années 1838, 39 , 40, 41, 42, 43 et 44. 	Revue Zoologique par La Société Cuvierienne VIII: 283–286.
45	Gerstaecker A	1854	[new species description].	Bericht über die zur Bekanntmachung geeigneten Verhandlungen der Königl. Preuss. Akademie der Wissenschaften zu Berlin: 530–534.
46	Robiche G	2013	Note sur le genre Psammodes Kirby, 1818 au Mozambique et descriptions de nouvelles espèces appartenant aux genres Psammophanes Lesne, 1922 et Dichtha Haag-Rutenberg, 1871 (Coleoptera, Tenebrionidae). 	Lambillionea 113: 155–166.
47	Brancsik K	1914	Coleoptera nova.	Bericht des Museumvereines für das Comitat Trencsén 1914: 58–69.
48	Fairmaire L	1894	Coléoptères de l’Afrique intertropicale et Australe (deuxième note).	Annales de la Société Entomologique de Belgique 38(6): 314–335.
49	Fairmaire L	1888b	Coléoptères nouveaux de l’Afrique du Musée de Leyde. 	Notes from the Leyden Museum 10: 255–271.
50	Koch C	1953b	 The Tenebrionidae of southern Africa XVII Contributions to the fauna of Angola.	Publicações Culturais da Companhia de Diamantes de Angola 16: 61–96.
51	Péringuey LA	1892	Third contribution to the South-African Coleopterous Fauna.	Transactions of the South African philosophical Society 6: 1–94.
52	Quedenfeldt G	1888	Beiträge zur Kenntniss der Koleopteren-Fauna von Central-Afrika nach den Ergebnissen der Lieutenant Wissman’schen Kassai-Expedition 1883 bis 1886. 	Berliner entomologische Zeitschrift 32: 155–219.
53	Koch C	1954a	Die Tenebrioniden des südlichen Afrikas XIX Zwei neue Distretus (Perdistretus) aus dem Belgischen Congo.	Annales du Musée du Congo belge 1: 435–439.
54	Fairmaire L	1897	Coléoptères nouveaux de l’Afrique intertropicale et Australe (4e note).	Annales de la Société Entomologique de France 66: 109–155.
