ID	AcceptedTaxonID	Genus	SubGenusName	SpeciesEpithet	AuthorString	InfraSpeciesEpithet	InfraSpeciesMarker	InfraSpeciesAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUID
46	1	Argenticrinis		haackei	Louw, 1979				Synonym	Synonym	
47	2	Psammodes		inquinatus	Péringuey, 1899				Synonym	Synonym	
48	16	Hypomelus		flagrans	Péringuey, 1899				Homonym	Synonym	
49	16	Psammodes		dentipennis	Gebien 1910b				Synonym	Synonym	
50	18	Hypomelus		sabulosus	Solier, 1843				Synonym	Synonym	
51	20	Hypomelus		plausibilis	Péringuey, 1899				Homonym	Synonym	
52	21	Oxura		psammodioides	Guérin-Méneville, 1834				Synonym	Synonym	
53	21	Hypomelus		bicolor	Solier, 1843				Synonym	Synonym	
54	28	Psammodes		hirtipennis	Haag-Rutenberg, 1871b				Homonym	Synonym	
55	38	Hypomelus		grandis	Solier, 1843				Homonym	Synonym	
56	39	Trachynotidus		manifestus	Péringuey, 1899				Synonym	Synonym	
439	60	Phrynocolus		decemcostatus	Gebien, 1910a				Synonym	Synonym	
440	62	Amiantus		multicostatus	Fairmaire, 1899a				Synonym	Synonym	
441	64	Distretus		mechowi	Quedenfeldt, 1885				Synonym	Synonym	
442	73	Melanolophus		ater	Waterhouse, 1885				Synonym	Synonym	
443	74	Phrynocolus		auriculatus	Gebien, 1910a				Synonym	Synonym	
444	75	Phrynocolus		benanum	Wilke, 1921				Synonym	Synonym	
445	76	Phrynocolus		crispatus	Fairmaire, 1887				Synonym	Synonym	
446	76	Phrynocolus		undatocostatus	Kolbe, 1891				Synonym	Synonym	
447	78	Phrynocolus		fiomicum	Wilke, 1921				Synonym	Synonym	
448	79	Phrynocolus		fulleborni	Wilke, 1921				Synonym	Synonym	
449	80	Phrynocolus		gebieni	Wilke, 1921				Synonym	Synonym	
450	81	Phrynocolus		glauningi	Wilke, 1921				Synonym	Synonym	
451	82	Phrynocolus		methneri	Wilke, 1921				Synonym	Synonym	
452	83	Phrynocolus		parvulus	Gestro, 1895				Synonym	Synonym	
453	84	Phrynocolus		pretiosum	Wilke, 1921				Synonym	Synonym	
454	85	Phrynocolus		tenuecostatus	Gebien, 1910a				Synonym	Synonym	
455	86	Phrynocolus		undaticostis	Fairmaire, 1887				Synonym	Synonym	
456	87	Phrynocolus		wembericum	Wilke, 1921				Synonym	Synonym	
457	88	Phrynocolus		abyssinicus	Haag-Rutenberg, 1871a				Synonym	Synonym	
458	89	Phrynocolus		gallanus	Wilke, 1921				Synonym	Synonym	
459	90	Phrynocolus		kuntzeni	Wikle, 1921				Synonym	Synonym	
460	91	Phrynocolus		petrosus	Gerstaecker, 1871				Synonym	Synonym	
461	91	Phrynocolus		ikutanus	Fairmaire, 1897				Synonym	Synonym	
462	92	Phrynocolus		placidus	Kolbe, 1885				Synonym	Synonym	
463	93	Phrynocolus		somalicus	Wilke, 1921				Synonym	Synonym	
464	95	Phrynocolus		subnodosus	Gebien, 1937b				Synonym	Synonym	
465	96	Phrynocolus		wachei	Wilke, 1921				Synonym	Synonym	
466	97	Moluris		cubica	Guérin-Méneville, 1845				Synonym	Synonym	
467	98	Cryptogenius		inflatus	Gerstaecker, 1854				Synonym	Synonym	
468	102	Moluris		amplipennis	Fåhraeus, 1870				Synonym	Synonym	
469	103	Psammodes		dissociatus	Péringuey, 1899				Synonym	Synonym	
470	106	Amiantus		mashunus	Péringuey, 1896				Synonym	Synonym	
471	108	Amiantus		undatus	Haag-Rutenberg, 1875				Synonym	Synonym	
472	110	Moluris		variolosus	Guérin-Méneville, 1854				Synonym	Synonym	
473	110	Moluris		pilicornis	Fåhraeus, 1870				Synonym	Synonym	
474	111	Psammodes		vietus	Péringuey, 1899				Synonym	Synonym	
475	112	Dichtha		acutecostatus	Fairmaire, 1888b				Synonym	Synonym	
476	124	Amiantus		carinatus	Fåhraeus, 1870				Synonym	Synonym	
477	124	Amiantus		costatus	Péringuey, 1896				Synonym	Synonym	
478	129	Phrynocolus		madecassus	Fairmaire, 1901				Synonym	Synonym	
479	135	Amiantus		picteti	Haag-Rutenberg, 1871a				Synonym	Synonym	
480	137	Amiantus		sexcostatus	Gahan, 1900				Synonym	Synonym	
481	141	Tenebrio		gibba	Pallas, 1781				Homonym	Synonym	
482	141	Pimelia		planata	Thunberg, 1787				Homonym	Synonym	
483	141	Pimelia		gibba	Fabricius, 1787				Synonym	Synonym	
484	141	Pimelia		bistriata	Herbst, 1799				Synonym	Synonym	
485	143	Pimelia		gibbosa	Thunberg, 1787				Synonym	Synonym	
486	143	Opatrum		gibbosum	Thunberg, 1821				Synonym	Synonym	
487	145	Pimelia		gibba	Herbst, 1799				Homonym	Synonym	
488	151	Pimelia		strigosa	Herbst, 1799				Synonym	Synonym	
489	151	Moluris		rouleti	Solier, 1843				Synonym	Synonym	
490	158	Cryptogenius		dentatus	Solier, 1843				Synonym	Synonym	
491	160	Cryptogenius		spinolai	Solier, 1843				Synonym	Synonym	
492	160	Phrynocolus		niloticus	Haag-Rutenberg, 1871a				Synonym	Synonym	
493	160	Phrynocolus		cultratus	Fairmaire, 1891a				Synonym	Synonym	
494	164	Psammodes		citernii	Gridelli, 1939b				Synonym	Synonym	
495	166	Phrynocolus		discoideus	Fairmaire, 1891b				Synonym	Synonym	
496	167	Moluris		gredleri	Haag-Rutenberg, 1877				Synonym	Synonym	
497	167	Phrynocolus		unicarinatus	Wilke, 1921				Synonym	Synonym	
498	168	Phrynocolus		humilis	Wilke, 1921				Synonym	Synonym	
499	169	Phrynocolus		lateritius	Wilke, 1921				Synonym	Synonym	
500	170	Phrynocolus		neumanni	Wilke, 1921				Synonym	Synonym	
501	174	Phrynocolus		schoutedeni	Koch, 1951				Synonym	Synonym	
502	175	Psammodes		squamifer	Gridelli, 1939b				Synonym	Synonym	
503	176	Amiantus		bufo	Haag-Rutenberg, 1871a				Synonym	Synonym	
504	176	Amiantus		reichardi	Kolbe, 1886				Synonym	Synonym	
505	179	Amiantus		crenatocostatus	Fairmaire, 1887				Synonym	Synonym	
506	180	Amiantus		haroldi	Haag-Rutenberg, 1871a				Synonym	Synonym	
507	182	Amiantus		manicanus	Péringuey, 1899				Synonym	Synonym	
508	188	Psammodes		praeliator	Péringuey, 1899				Synonym	Synonym	
509	192	Pimelia		brunneus	Olivier, 1795				Synonym	Synonym	
510	203	Phanerotoma		convexus	Solier, 1843				Synonym	Synonym	
511	203	Phanerotoma		coriaceus	Gerstaecker, 1854				Synonym	Synonym	
512	203	Psammodes		manifestus	Péringuey 1899				Synonym	Synonym	
513	206	Moluris		dejeani	Solier, 1843				Synonym	Synonym	
514	219	Psammodes		illotus	Péringuey, 1904				Synonym	Synonym	
515	227	Pimelia		striata	Fabricius, 1775				Synonym	Synonym	
516	227	Tenebrio		glandiformis	Pallas, 1781				Synonym	Synonym	
517	413	Moluris		unicolor	Solier, 1843				Homonym	Synonym	
518	230	Phanerotoma		grandis	Solier, 1843				Synonym	Synonym	
519	230	Psammodes		lugubris	Fåhraeus, 1870				Synonym	Synonym	
520	231	Phanerotomea		granulatus	Solier, 1843				Synonym	Synonym	
521	234	Psammodes		obliteratus	Haag-Rutenberg, 1871a				Homonym	Synonym	
522	236	Moluris		hirtipes	Laporte, 1840				Synonym	Synonym	
523	236	Moluris		reichei	Solier, 1843				Synonym	Synonym	
524	237	Moluris		hirtus	Bertoloni, 1849				Synonym	Synonym	
525	252	Phanerotoma		ruficore	Solier, 1843				Synonym	Synonym	
526	267	Phanerotoma		ovatus	Solier, 1843				Synonym	Synonym	
527	274	Pimelia		pilosus	Thunberg, 1787				Synonym	Synonym	
528	274	Psammodes		rotundipennis	Péringuey, 1899				Synonym	Synonym	
529	274	Moluris		plicatus	Solier, 1844				Homonym	Synonym	
530	278	Phanerotoma		plicatus	Solier, 1844				Synonym	Synonym	
531	280	Psammodophysis		probes	Péringuey, 1899				Synonym	Synonym	
532	281	Hypomelus		procerus	Fåhraeus, 1870				Synonym	Synonym	
533	282	Moluris		procustes	Westwood, 1875				Synonym	Synonym	
534	282	Psammodes		giganteus	Haag-Rutenberg, 1879				Synonym	Synonym	
535	287	Phanerotomea		pubescens	Solier, 1843				Synonym	Synonym	
536	289	Hypomelus		quadricostatus	Fåhraeus, 1870				Synonym	Synonym	
537	291	Trachynotidus		refleximargo	Gebien, 1920				Synonym	Synonym	
538	298	Phanerotomea		rugulosus	Solier, 1843				Synonym	Synonym	
539	298	Psammodes		exilis	Péringuey, 1899				Synonym	Synonym	
540	300	Pimelia		scaber	Fabricius, 1775				Synonym	Synonym	
541	301	Moluris		scabratus	Solier, 1843				Synonym	Synonym	
542	306	Psammodes		approximans	Péringuey, 1899				Synonym	Synonym	
543	310	Psammodes		karrooensis	Péringuey, 1899				Synonym	Synonym	
544	316	Phanerotomea		subcostatus	Solier, 1843				Synonym	Synonym	
545	318	Hypomelus		tenuipes	Fåhraeus, 1870				Synonym	Synonym	
546	321	Moluris		tomentosus	Solier, 1843				Synonym	Synonym	
547	323	Psammodes		laetulus	Péringuey, 1899				Synonym	Synonym	
548	324	Psammodes		mendax	Péringuey, 1899				Synonym	Synonym	
549	324	Psammodes		praestans	Péringuey, 1899				Synonym	Synonym	
550	326	Psammodes		interventor	Péringuey, 1908				Synonym	Synonym	
551	333	Moluris		pierreti	Amyot, 1835				Synonym	Synonym	
552	336	Trachynotus		vittatus	Solier, 1843				Synonym	Synonym	
553	337	Psammodes		adventitus	Péringuey, 1899				Synonym	Synonym	
554	339	Psammodes		acuticosta	Fairmaire, 1884				Synonym	Synonym	
555	340	Psammodes		lomii	Gridelli, 1939b				Synonym	Synonym	
556	341	Psammodes		angulicauda	Lesne, 1922				Synonym	Synonym	
557	342	Psammodes		antinorii	Gridelli, 1939b				Synonym	Synonym	
558	343	Psammodes		beccarii	Gridelli, 1939a				Synonym	Synonym	
