taxonID	area	gazetteer	status	referenceID
1355	Mozambique	Text	Native	
92	South Sudan	Text	Native	
261	Angola	Text	Native	
694	South Africa	Text	Native	
1080	Tanzania	Text	Native	
1082	Sudan	Text	Native	
596	Botswana	Text	Native	
598	Namibia	Text	Native	
769	Namibia	Text	Native	
1257	South Africa	Text	Native	
1010	Spain	Text	Native	
1043	Kenya	Text	Native	
626	Namibia	Text	Native	
293	South Africa	Text	Native	
777	Angola	Text	Native	
800	Namibia	Text	Native	
1065	Yemen	Text	Native	
185	South Africa	Text	Native	
357	Kenya	Text	Native	
1241	South Africa	Text	Native	
756	Zambia	Text	Native	
632	Tanzania	Text	Native	
410	South Africa	Text	Native	
415	Angola	Text	Native	
244	Zimbabwe	Text	Native	
1351	Namibia	Text	Native	
15	South Africa	Text	Native	
596	South Africa	Text	Native	
599	South Africa	Text	Native	
1250	South Africa	Text	Native	
1384	South Africa	Text	Native	
834	Democratic Republic of Congo	Text	Native	
130	Madagascar	Text	Native	
168	Ethiopia	Text	Native	
1171	Namibia	Text	Native	
1019	Libya	Text	Native	
206	South Africa	Text	Native	
327	South Africa	Text	Native	
386	Somalia	Text	Native	
1190	Tanzania	Text	Native	
1195	Angola	Text	Native	
635	Mozambique	Text	Native	
302	South Africa	Text	Native	
744	South Africa	Text	Native	
1192	Angola	Text	Native	
1288	Namibia	Text	Native	
1303	South Africa	Text	Native	
244	Botswana	Text	Native	
309	South Africa	Text	Native	
350	Tanzania	Text	Native	
1343	Namibia	Text	Native	
1189	Zimbabwe	Text	Native	
1210	South Africa	Text	Native	
256	South Africa	Text	Native	
692	Namibia	Text	Native	
794	Namibia	Text	Native	
1211	South Africa	Text	Native	
1013	Somalia	Text	Native	
1247	South Africa	Text	Native	
1276	South Africa	Text	Native	
30	South Africa	Text	Native	
598	Botswana	Text	Native	
122	Democratic Republic of Congo	Text	Native	
231	South Africa	Text	Native	
301	South Africa	Text	Native	
1344	Angola	Text	Native	
62	Mozambique	Text	Native	
686	Angola	Text	Native	
689	South Africa	Text	Native	
134	Ethiopia	Text	Native	
270	South Africa	Text	Native	
835	Angola	Text	Native	
1208	South Africa	Text	Native	
1307	Mozambique	Text	Native	
1311	South Africa	Text	Native	
643	South Africa	Text	Native	
393	Tanzania	Text	Native	
113	Angola	Text	Native	
437	Tanzania	Text	Native	
1323	South Africa	Text	Native	
1077	Tanzania	Text	Native	
241	South Africa	Text	Native	
780	South Africa	Text	Native	
41	South Africa	Text	Native	
76	Tanzania	Text	Native	
609	South Africa	Text	Native	
798	Botswana	Text	Native	
1232	South Africa	Text	Native	
1261	South Africa	Text	Native	
1316	Zambia	Text	Native	
1069	Sudan	Text	Native	
14	South Africa	Text	Native	
272	South Africa	Text	Native	
765	Botswana	Text	Native	
1255	South Africa	Text	Native	
1101	Kenya	Text	Native	
321	South Africa	Text	Native	
716	Democratic Republic of Congo	Text	Native	
1336	South Africa	Text	Native	
2	Zambia	Text	Native	
1288	South Africa	Text	Native	
339	Somalia	Text	Native	
807	Namibia	Text	Native	
1090	Tanzania	Text	Native	
177	Tanzania	Text	Native	
1237	Botswana	Text	Native	
1250	Namibia	Text	Native	
794	South Africa	Text	Native	
1355	South Africa	Text	Native	
1278	South Africa	Text	Native	
275	South Africa	Text	Native	
304	South Africa	Text	Native	
692	Angola	Text	Native	
710	Democratic Republic of Congo	Text	Native	
733	Angola	Text	Native	
1217	South Africa	Text	Native	
705	Tanzania	Text	Native	
726	Mozambique	Text	Native	
263	South Africa	Text	Native	
683	South Africa	Text	Native	
1235	Namibia	Text	Native	
1101	Yemen	Text	Native	
167	Kenya	Text	Native	
724	Angola	Text	Native	
776	Zimbabwe	Text	Native	
809	Namibia	Text	Native	
1317	Tanzania	Text	Native	
93	Somalia	Text	Native	
1197	South Africa	Text	Native	
1009	Tunisia	Text	Native	
1095	Sudan	Text	Native	
18	South Africa	Text	Native	
116	Angola	Text	Native	
