ID	scientificName	authorship	rank	genus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpither	appendedPhrase	publishedInID	publishedInPage	publishedInYear	original	code	status	link	remarks
403	Phrynocolus (Phrynocolopsis) denhardti fractus Koch, 1969	Koch, 1969	subsp.	Phrynocolus			fractus										
434	Psammophanes (Psammostretus) erectepilosus tanganyikanus Koch, 1953	Koch, 1953	subsp.	Psammophanes			tanganyikanus										
849	Phanerotomea blandus Koch, 1952	Koch, 1952	species	Phanerotomea													
662	Ocnodes (Chiliarchum) bertolonii Guérin-Méneville, 1844	Guérin-Méneville, 1844	species	Ocnodes													
997	Sepidiopsis cornigera Gestro, 1892	Gestro, 1892	species	Sepidiopsis													
655	Psammodes connexa Haag-Rutenberg, 1871	Haag-Rutenberg, 1871	species	Psammodes													
658	Namibomodes rudebecki Koch, 1952	Koch, 1952	species	Namibomodes													
164	Phrynophanes citernii Gridelli, 1939	Gridelli, 1939	species	Phrynophanes													
732	Ocnodes (Ocnodes) mimeticus Koch, 1952	Koch, 1952	species	Ocnodes													
678	Ocnodes (Ocnodes) carbonarius Gerstaecker, 1854	Gerstaecker, 1854	species	Ocnodes													
729	Ocnodes (Ocnodes) melleus Koch, 1952	Koch, 1952	species	Ocnodes													
1275	Somaticus (Trachyderes) albomaculatus Haag-Rutenberg, 1873	Haag-Rutenberg, 1873	species	Somaticus													
1356	Somaticus (Bechuanitis) geniculatus pluricostatus Koch, 1955	Koch, 1955	subsp.	Somaticus			pluricostatus										
989	Psammodes tarsalis Haag-Rutenberg, 1871	Haag-Rutenberg, 1871	species	Psammodes													
1475	Sepidium reticulatum Thunberg, 1791	Thunberg, 1791	species	Sepidium													
7a272cd5-68f1f-cb5d6-b0293-75834f71b	Tenebrionidae		family														
319	Psammodes timarchoides Haag-Rutenberg, 1871	Haag-Rutenberg, 1871	species	Psammodes													
623	Pterostichula (Pterostichula) namaqua Koch, 1952	Koch, 1952	species	Pterostichula													
