ID	taxonID	nameID	status	referenceID	link	remarks
	230	518	Synonym	17,19		
	274	527	Synonym	18,19		
	778	962	Synonym	10,19		
	1329	1475	Synonym	21,174,101		
	78	447	Synonym	22,19		
	82	451	Synonym	22,19		
	206	513	Synonym	17,19		
	775	959	Synonym	10,19		
	1004	1117	Synonym	119,19		
	1269	1437	Synonym	17,28,101		
	1222	1402	Synonym	21,9,19		
	1250	1422	Synonym	17,17,19		
	160	491	Synonym	17,6		
	732	912	Synonym	10,19		
	774	958	Synonym	20,19		
	794	979	Synonym	14,19		
	1048	1143	Synonym	17,131		
	1172	1394	Synonym	8,51,79		
	1246	1418	Synonym	32,17,19		
	1274	1442	Synonym	23,8,19		
	84	453	Synonym	22,19		
	729	909	Synonym	10,19		
	730	910	Synonym	20,19		
	1334	1479	Synonym	8,175,21		
	669	845	Synonym	10,19		
	709	887	Synonym	57,19		
	745	926	Synonym	10,19		
	799	982	Synonym	110,19		
	782	967	Synonym	31,32		
	1047	1141	Synonym	158,128		
	1271	1439	Synonym	23,20,19		
	76	445	Synonym	37,19		
	1107	1128	Synonym	23,128		
	1045	1135	Synonym	156,161		
	785	971	Synonym	20,19		
	1048	1146	Synonym	124,131		
	605	655	Synonym	6,6,19		
	679	856	Synonym	49,19		
	702	878	Synonym	6,19		
	687	863	Synonym	10,19		
	744	924	Synonym	107,19		
	676	853	Synonym	10,19		
	744	925	Synonym	17,24		
	782	966	Synonym	9,19		
	792	978	Synonym	33,19		
	1021	1122	Synonym	127,24		
	678	855	Synonym	45,19		
	790	976	Synonym	10,19		
	16	48	Synonym	15,19		
	385	582	Synonym	42,19		
	640	659	Synonym	100,100,19		
	701	877	Synonym	10,19		
	1021	1123	Synonym	131,24		
	1031	1124	Synonym	153,19		
	1101	1165	Synonym	88,163		
	1280	1448	Synonym	166,168,24		
	346	560	Synonym	85,19		
	383	581	Synonym	88,19		
	684	860	Synonym	10,19		
	108	471	Synonym	33,19		
	761	944	Synonym	10,19		
	1260	1429	Synonym	172,8,19		
	1333	1476	Synonym	21,7,19		
	20	51	Synonym	15,19		
	74	443	Synonym	27,19		
	106	470	Synonym	29,19		
	786	972	Synonym	20,19		
	86	455	Synonym	37,19		
	380	580	Synonym	27,19		
	688	864	Synonym	10,19		
